Month,Year,Births
January,1990,21255
January,1991,21683
January,1992,22020
January,1993,21588
January,1994,21908
January,1995,21823
January,1996,21151
January,1997,21620
January,1998,21012
January,1999,21353
January,2000,21589
January,2001,20578
January,2002,21488
January,2003,20838
January,2004,21593
January,2005,21323
January,2006,22468
January,2007,24355
January,2008,24705
January,2009,24083
January,2010,24830
January,2011,24912
January,2012,25722
January,2013,26101
January,2014,25304
January,2015,25473
January,2016,25224
January,2017,25150
January,2018,25296
January,2019,24423
February,1990,20220
February,1991,20045
February,1992,21282
February,1993,20223
February,1994,20422
February,1995,20463
February,1996,20633
February,1997,19632
February,1998,19695
February,1999,20020
February,2000,20231
February,2001,19609
February,2002,19976
February,2003,19416
February,2004,20280
February,2005,20389
February,2006,20846
February,2007,22599
February,2008,23327
February,2009,23380
February,2010,23394
February,2011,23641
February,2012,24609
February,2013,24087
February,2014,24790
February,2015,23598
February,2016,25210
February,2017,23264
February,2018,23147
February,2019,22885
March,1990,22918
March,1991,22412
March,1992,22757
March,1993,22973
March,1994,23642
March,1995,23223
March,1996,21926
March,1997,21693
March,1998,21884
March,1999,22594
March,2000,22241
March,2001,22070
March,2002,21774
March,2003,21380
March,2004,22295
March,2005,23455
March,2006,22942
March,2007,25359
March,2008,24992
March,2009,25294
March,2010,26656
March,2011,26550
March,2012,26376
March,2013,26374
March,2014,26388
March,2015,26054
March,2016,27125
March,2017,26171
March,2018,25485
March,2019,25107
April,1990,21751
April,1991,21889
April,1992,21936
April,1993,21727
April,1994,21375
April,1995,21154
April,1996,20856
April,1997,20929
April,1998,21065
April,1999,21203
April,2000,20546
April,2001,20716
April,2002,20875
April,2003,20524
April,2004,21350
April,2005,22530
April,2006,22252
April,2007,23366
April,2008,24001
April,2009,24784
April,2010,24619
April,2011,24773
April,2012,25040
April,2013,25082
April,2014,25553
April,2015,24861
April,2016,25706
April,2017,24219
April,2018,23887
April,2019,24096
May,1990,22360
May,1991,22221
May,1992,22401
May,1993,22106
May,1994,22097
May,1995,22597
May,1996,21851
May,1997,21728
May,1998,21165
May,1999,21348
May,2000,21928
May,2001,21438
May,2002,21460
May,2003,21372
May,2004,20898
May,2005,22719
May,2006,23154
May,2007,24752
May,2008,24374
May,2009,24582
May,2010,25367
May,2011,25598
May,2012,26348
May,2013,26450
May,2014,25906
May,2015,25072
May,2016,26075
May,2017,25348
May,2018,25134
May,2019,25407
June,1990,21722
June,1991,21309
June,1992,21855
June,1993,21876
June,1994,21209
June,1995,21690
June,1996,20900
June,1997,21050
June,1998,20842
June,1999,21283
June,2000,20927
June,2001,20575
June,2002,20329
June,2003,21178
June,2004,19529
June,2005,22203
June,2006,22272
June,2007,23713
June,2008,23397
June,2009,24323
June,2010,25025
June,2011,25071
June,2012,25212
June,2013,24980
June,2014,24956
June,2015,24797
June,2016,25811
June,2017,24866
June,2018,24223
June,2019,23354
July,1990,22312
July,1991,21935
July,1992,22861
July,1993,22204
July,1994,21997
July,1995,22138
July,1996,21822
July,1997,22067
July,1998,21980
July,1999,21782
July,2000,20814
July,2001,21297
July,2002,21585
July,2003,21885
July,2004,22357
July,2005,22595
July,2006,23876
July,2007,24883
July,2008,25540
July,2009,25477
July,2010,25265
July,2011,24893
July,2012,25912
July,2013,25683
July,2014,26259
July,2015,26179
July,2016,25574
July,2017,24795
July,2018,24628
July,2019,24291
August,1990,22678
August,1991,22008
August,1992,22030
August,1993,21918
August,1994,22210
August,1995,22405
August,1996,21933
August,1997,21456
August,1998,21243
August,1999,21724
August,2000,21777
August,2001,21961
August,2002,21343
August,2003,21586
August,2004,21223
August,2005,22918
August,2006,24104
August,2007,25214
August,2008,24951
August,2009,24379
August,2010,24927
August,2011,25211
August,2012,26383
August,2013,25456
August,2014,25461
August,2015,25403
August,2016,25778
August,2017,25564
August,2018,24927
August,2019,23685
September,1990,22415
September,1991,21606
September,1992,22721
September,1993,22472
September,1994,22586
September,1995,22075
September,1996,22088
September,1997,21999
September,1998,21837
September,1999,22153
September,2000,21713
September,2001,21700
September,2002,21674
September,2003,22053
September,2004,21844
September,2005,23358
September,2006,24344
September,2007,24484
September,2008,24926
September,2009,25399
September,2010,25041
September,2011,25354
September,2012,25423
September,2013,25545
September,2014,26284
September,2015,25870
September,2016,26025
September,2017,24970
September,2018,24095
September,2019,23200
October,1990,23121
October,1991,22073
October,1992,22695
October,1993,22207
October,1994,22306
October,1995,21953
October,1996,22399
October,1997,22492
October,1998,21901
October,1999,21258
October,2000,22354
October,2001,21730
October,2002,21975
October,2003,22519
October,2004,21282
October,2005,23076
October,2006,24100
October,2007,25164
October,2008,25442
October,2009,25871
October,2010,24859
October,2011,25053
October,2012,26892
October,2013,25892
October,2014,26717
October,2015,25824
October,2016,25434
October,2017,24924
October,2018,25062
October,2019,23410
November,1990,21036
November,1991,19974
November,1992,20538
November,1993,20506
November,1994,20866
November,1995,20399
November,1996,20920
November,1997,19947
November,1998,19900
November,1999,19892
November,2000,20513
November,2001,20012
November,2002,20081
November,2003,19720
November,2004,20424
November,2005,21573
November,2006,22764
November,2007,23362
November,2008,22939
November,2009,23799
November,2010,23252
November,2011,24135
November,2012,25366
November,2013,24473
November,2014,24283
November,2015,24002
November,2016,24160
November,2017,23631
November,2018,23834
November,2019,18586
December,1990,20966
December,1991,21071
December,1992,21094
December,1993,21663
December,1994,21532
December,1995,20149
December,1996,21274
December,1997,20662
December,1998,20392
December,1999,20652
December,2000,19513
December,2001,19707
December,2002,20447
December,2003,20715
December,2004,20429
December,2005,22105
December,2006,22549
December,2007,23028
December,2008,25017
December,2009,24647
December,2010,23511
December,2011,24271
December,2012,24893
December,2013,24833
December,2014,25114
December,2015,25021
December,2016,24270
December,2017,23510
December,2018,23450
December,2019,7655