January,February,March,April,May ,June,July ,August,September ,October ,November ,December
1990,7349,6866,7717,7443,7617,7423,7609,7751,7871,7913,7368,7260
1991,7334,6861,7712,7534,7644,7334,7524,7746,7488,7625,6886,7178
1992,7700,7309,7843,7510,7643,7563,8021,7678,7924,7880,7066,7242
1993,7428,6958,7913,7413,7543,7499,7624,7505,7682,7556,7063,7463
1994,7558,6949,8232,7278,7509,7194,7629,7656,7821,7608,7077,7406
1995,7345,6947,7898,7155,7786,7358,7661,7764,7580,7490,7096,6979
1996,7246,6939,7396,7086,7476,7182,7471,7589,7715,7785,7520,7647
1997,7638,6771,7466,7132,7414,7360,7589,7442,7801,7892,7002,7098
1998,7185,6649,7546,7213,7177,7185,7619,7278,7537,7523,6796,7179
1999,7365,6839,7688,7323,7221,7446,7544,7536,7624,7271,6851,7117
2000,7528,7060,7658,7097,7651,7218,7276,7625,7444,7696,7094,7068
2001,7238,6780,7710,7111,7213,7220,7298,7520,7481,7458,6831,6670
2002,7314,6879,7542,7067,7430,6991,7374,7376,7483,7719,6988,7076
2003,7131,6633,7404,7126,7461,7345,7488,7448,7642,7719,6669,7097
2004,7404,6795,7570,7183,7082,6548,7449,7123,7494,7266,7016,6801
2005,7183,6831,7908,7660,7573,7451,7734,7693,7992,7856,7248,7421
2006,7284,6538,6822,7448,7831,7391,7933,8111,8132,8168,7619,7537
2007,8065,7444,8396,7856,8355,7930,8152,8259,8133,8339,7688,7420
2008,7964,7613,8260,7794,8036,7633,8629,8224,8050,8464,7610,8468
2009,7899,7578,8173,8098,7978,7775,8477,7942,8463,8377,7921,8070
2010,8117,7516,8542,8025,8265,8302,8318,8119,8238,8094,7693,7594
2011,8167,7656,8589,8050,8362,8241,8015,8246,8295,8076,7766,7830
2012,8384,7800,8382,8125,8661,8136,8353,8510,8312,8693,8252,7901
2013,8425,7724,8282,7882,8487,7923,8064,7969,8216,8257,7776,7934
2014,7655,7666,8210,7969,8168,8007,8323,8050,8385,8533,7783,8040
2015,8210,7483,8075,7808,7916,7883,8270,8165,8266,8147,7730,7949
2016,7912,7943,8562,8130,8375,8303,8260,8360,8215,8250,7740,7679
2017,8166,7409,8353,7660,8000,7924,8092,8174,8076,7863,7545,7300
2018,8124,7312,8097,7692,8048,7820,8101,7986,7946,8021,7688,7553
2019,7816,7391,8100,7743,8114,7542,7782,7583,7464,7521,6012,2739